"","s1"
"(Intercept)",-1.8267383710486
"sales_mil_log",0.023731263299996
"sales_mil_log_sq",0.455026636182001
"total_assets_bs",0.0261825970337422
"fixed_assets_bs",0
"liq_assets_bs",0.0287580184439501
"curr_assets_bs",-0.00232055607462436
"share_eq_bs",0.0596051460421438
"subscribed_cap_bs",-0.0364081961448722
"intang_assets_bs",0.00919279318215198
"extra_exp_pl",0
"extra_inc_pl",0.0140907394697784
"extra_profit_loss_pl",0.038532665673961
"inc_bef_tax_pl",-0.131983436516691
"inventories_pl",0.0602197896387348
"material_exp_pl",0.022477755138768
"profit_loss_year_pl",0.0643475044150714
"personnel_exp_pl",-0.0132212804795902
"extra_profit_loss_pl_quad",-0.0184465757486322
"inc_bef_tax_pl_quad",-0.0178483990442353
"profit_loss_year_pl_quad",0.0627537052479632
"share_eq_bs_quad",-0.0937658408865875
"extra_profit_loss_pl_flag_low",-0.0460347421198433
"inc_bef_tax_pl_flag_low",0
"profit_loss_year_pl_flag_low",-0.03018867660971
"share_eq_bs_flag_low",0.0607772614752547
"extra_exp_pl_flag_high",0.0744111654552892
"extra_inc_pl_flag_high",0
"inventories_pl_flag_high",-0.0126969381254615
"material_exp_pl_flag_high",0.0730901612581287
"personnel_exp_pl_flag_high",0.0263161920304229
"curr_liab_bs_flag_high",0.0371121817092785
"liq_assets_bs_flag_high",0
"subscribed_cap_bs_flag_high",0.0387606912483448
"extra_profit_loss_pl_flag_high",-0.0139728898791388
"inc_bef_tax_pl_flag_high",-0.000606730511881515
"profit_loss_year_pl_flag_high",-0.0241142983917745
"share_eq_bs_flag_high",0.013672752950924
"extra_exp_pl_flag_error",0
"extra_inc_pl_flag_error",-0.00921668332257257
"inventories_pl_flag_error",-0.0134084499438066
"material_exp_pl_flag_error",-0.0131874310264558
"personnel_exp_pl_flag_error",-3.00409408134029e-05
"curr_liab_bs_flag_error",0.0130990952602199
"liq_assets_bs_flag_error",0.00512405195059928
"extra_profit_loss_pl_flag_zero",0
"inc_bef_tax_pl_flag_zero",0.0139849350339552
"profit_loss_year_pl_flag_zero",0.032322303951211
"share_eq_bs_flag_zero",-0.0542761309136252
"d1_sales_mil_log_mod",-0.124245406833074
"d1_sales_mil_log_mod_sq",0.292124467939489
"flag_low_d1_sales_mil_log",-0.112846974352304
"flag_high_d1_sales_mil_log",-0.0692720099978439
"female",-0.0308772366428034
"ceo_age",-0.220068905763483
"flag_high_ceo_age",0.0843236987688892
"flag_low_ceo_age",-0.0653096053101302
"flag_miss_ceo_age",-0.0420131310822241
"ceo_count",-0.00481026412036024
"labor_avg_mod",-0.0674706377665992
"flag_miss_labor_avg",-0.0113581111457005
"foreign_management",0
"age",-0.381547525363344
"age2",0.241217616972673
"new",0.0110597208597738
"ind2_cat27",0.104074695034169
"ind2_cat28",0.117655542841819
"ind2_cat29",0.0463342487699647
"ind2_cat30",0
"ind2_cat33",0.0937552622163951
"ind2_cat55",-0.109806252000556
"ind2_cat56",-0.0179832455535222
"m_region_locEast",-0.0299299553122187
"m_region_locWest",-0.0548682689936502
"urban_m2",-0.0148489123922313
"urban_m3",0.0691580042391585
"age:ind2_cat27",0
"age:ind2_cat28",0
"age:ind2_cat29",0
"age:ind2_cat30",0
"age:ind2_cat33",0
"age:ind2_cat55",-0.113284099859801
"age:ind2_cat56",-0.183862217423233
"age2:ind2_cat27",0
"age2:ind2_cat28",0.0153111104510564
"age2:ind2_cat29",-0.115974694349624
"age2:ind2_cat30",0.0177073712437543
"age2:ind2_cat33",0.0189634746387184
"age2:ind2_cat55",0
"age2:ind2_cat56",0.084464366215013
"d1_sales_mil_log_mod:ind2_cat27",0.0291768277471461
"d1_sales_mil_log_mod:ind2_cat28",-0.0317834559718441
"d1_sales_mil_log_mod:ind2_cat29",-0.0326078907015708
"d1_sales_mil_log_mod:ind2_cat30",0.000698958668401895
"d1_sales_mil_log_mod:ind2_cat33",-0.00986770109353019
"d1_sales_mil_log_mod:ind2_cat55",0.0216452590640189
"d1_sales_mil_log_mod:ind2_cat56",0.0732976444801103
"sales_mil_log:ind2_cat27",0.0217517389195057
"sales_mil_log:ind2_cat28",0.0192969329818526
"sales_mil_log:ind2_cat29",-0.0418021624647389
"sales_mil_log:ind2_cat30",-0.0851436719279708
"sales_mil_log:ind2_cat33",0.123596844682999
"sales_mil_log:ind2_cat55",-0.155647245110448
"sales_mil_log:ind2_cat56",-0.102895980492032
"ceo_age:ind2_cat27",-0.00022630328787733
"ceo_age:ind2_cat28",-0.075602659125513
"ceo_age:ind2_cat29",0.0760252815372428
"ceo_age:ind2_cat30",-0.111702277708211
"ceo_age:ind2_cat33",0.0204739791347877
"ceo_age:ind2_cat55",0
"ceo_age:ind2_cat56",-0.12730240758134
"foreign_management:ind2_cat27",-0.0441002414605066
"foreign_management:ind2_cat28",0.00948611508496409
"foreign_management:ind2_cat29",0.00214166368569074
"foreign_management:ind2_cat30",0.0352017855309979
"foreign_management:ind2_cat33",0.0374856542410689
"foreign_management:ind2_cat55",-0.0128164158392507
"foreign_management:ind2_cat56",-0.0267991457874908
"female:ind2_cat27",0.0363002086846191
"female:ind2_cat28",0.0328009729211217
"female:ind2_cat29",-0.0172420943949667
"female:ind2_cat30",-0.0258656518067667
"female:ind2_cat33",0.0498782082382585
"female:ind2_cat55",0
"female:ind2_cat56",-0.0408543441442611
"ind2_cat27:urban_m2",-0.023172446420177
"ind2_cat28:urban_m2",0.0468061055707483
"ind2_cat29:urban_m2",0.00611858339376147
"ind2_cat30:urban_m2",0.00945192499520523
"ind2_cat33:urban_m2",0.0270369006920949
"ind2_cat55:urban_m2",0.0245216992603601
"ind2_cat56:urban_m2",-0.0580507992843818
"ind2_cat27:urban_m3",-0.0549633859630856
"ind2_cat28:urban_m3",0.0265672591731721
"ind2_cat29:urban_m3",-0.0181676124019815
"ind2_cat30:urban_m3",0.0538666433926652
"ind2_cat33:urban_m3",0.0169884556801112
"ind2_cat55:urban_m3",0
"ind2_cat56:urban_m3",-0.0966746765202987
"labor_avg_mod:ind2_cat27",0
"labor_avg_mod:ind2_cat28",-0.069928585503606
"labor_avg_mod:ind2_cat29",0
"labor_avg_mod:ind2_cat30",0.0222840426361496
"labor_avg_mod:ind2_cat33",-0.0247014461506022
"labor_avg_mod:ind2_cat55",-0.046194095877156
"labor_avg_mod:ind2_cat56",-0.0046327924575465
"sales_mil_log:age",0.0567675317795256
"sales_mil_log:female",0.00041039468743488
"sales_mil_log:profit_loss_year_pl",0
"sales_mil_log:foreign_management",-0.0533114118559611
